id,polarity
1,positive
2,positive
3,negative
4,negative
5,negative
6,negative
7,negative
8,positive
9,negative
10,positive
11,positive
12,negative
13,negative
14,negative
15,positive
16,positive
17,positive
18,positive
19,negative
20,positive
21,negative
22,negative
23,negative
24,negative
25,negative
26,negative
27,positive
28,positive
29,positive
30,negative
31,positive
32,positive
33,positive
34,negative
35,negative
36,positive
37,negative
38,positive
39,negative
40,positive
41,negative
42,negative
43,negative
44,positive
45,negative
46,negative
47,negative
48,negative
49,negative
50,negative
51,negative
52,negative
53,positive
54,positive
55,negative
56,negative
57,negative
58,negative
59,negative
60,negative
61,negative
62,negative
63,negative
64,negative
65,positive
66,negative
67,negative
68,negative
69,positive
70,negative
71,negative
72,positive
73,positive
74,negative
75,positive
76,positive
77,positive
78,negative
79,positive
80,positive
81,positive
82,negative
83,positive
84,negative
85,positive
86,positive
87,positive
88,positive
89,negative
90,negative
91,positive
92,positive
93,positive
94,negative
95,negative
96,negative
97,negative
98,positive
99,positive
100,negative
101,negative
102,positive
103,negative
104,positive
105,negative
106,negative
107,positive
108,positive
109,negative
110,negative
111,positive
112,negative
113,positive
114,positive
115,negative
116,negative
117,negative
118,positive
119,negative
120,negative
121,negative
122,negative
123,negative
124,negative
125,negative
126,positive
127,positive
128,negative
129,positive
130,positive
131,positive
132,negative
133,positive
134,positive
135,positive
136,positive
137,negative
138,positive
139,negative
140,positive
141,negative
142,positive
143,negative
144,positive
145,negative
146,negative
147,positive
148,negative
149,negative
150,positive
151,negative
152,negative
153,negative
154,negative
155,negative
156,positive
157,negative
158,negative
159,negative
160,negative
161,negative
162,positive
163,positive
164,positive
165,positive
166,positive
167,negative
168,negative
169,negative
170,positive
171,negative
172,negative
173,negative
174,positive
175,negative
176,positive
177,negative
178,positive
179,positive
180,positive
181,negative
182,negative
183,negative
184,negative
185,positive
186,negative
187,negative
188,negative
189,negative
190,negative
191,positive
192,negative
193,positive
194,positive
195,positive
196,positive
197,negative
198,positive
199,negative
200,positive
201,negative
202,negative
203,negative
204,negative
205,positive
206,negative
207,negative
208,negative
209,positive
210,negative
211,negative
212,positive
213,negative
214,positive
215,positive
216,negative
217,negative
218,negative
219,negative
220,negative
221,negative
222,negative
223,negative
224,negative
225,positive
226,positive
227,negative
228,positive
229,positive
230,positive
231,negative
232,negative
233,positive
