label,x_train
neutral,@mattlduff Not sure what to say. I guess we'll all be happy when Nov 6 passes. I'll support whoever is next POTUS. But obv want Romney.
negative,Yea I have spoken to him liao. Indeed he is upset over dat..
positive,"Hammond: we now have a balanced budget with an affordable equipment programme, backed by what will still be the 4th largest defence budget."
neutral,listening to Springsteen's Nebraska album while driving through... well you can guess. @willknoxmusic's wishes. playing Lincoln tonight! 6PM
positive,With Veteran Day Sun I want you to thank all the Military People. We have the best son that gave over 20 years at... http://t.co/LKJyicJX
neutral,@wayne_hay will you be in Myanmar on Saturday? I work with Tom at Spark PR in BKK. We have an event on Saturday in Yangon with Visa
positive,That is the sweetest thing EVAR .
negative,tutorial drafts r out. but i can\u2019t seem to find level 4000 one
neutral,am interested in going out tonight.  say to chinatown/raffles?  any objections?
positive,so now i have a suprise for Hassium on Monday .
neutral,"The fact that after I tweeted that, Max the dog sat on my cold left-out foot..."
positive,"@PackInsider: As we reported earlier in the day, PG Lorenzo Brown will have surgery on Tuesday.  Hoping 4 speedy recovery"
neutral,Polar Dust is hitting Black Dahlia in Boksburg on the 10th of November. Click here for event details: http://t.co/9de40jL4
neutral,"10 Things to Know for Friday: The U.S. Postal Service, on the brink of default on a second multibillion-dollar p... http://t.co/FqmLkARG"
positive,"In rugby news, @BasRFC are winning 26-5 at Cobham, with the four-try bonus point in the bag. See The Monday Gazette for a full report."
neutral,@AccessWinnipeg Thanks for the heads up on the SportChek 50% off Jets promo. Got some gear tonight.
neutral,yupz... I\u2019m goin to bid now liao... U bid 4 some of ur modules oredi?
neutral,"Ideal weekend getaways: With Raksha Bandhan and Independence Day falling on Saturday and Monday this time, it ma... http://bit.ly/ntzCEC"
positive,Thanks so much. Sorry for the delay. i was driving. Think I can\u2019t join you all tonight cos I have law tutorial tomorrow at 9. You have fun and help me wish him a very happy birthday for me.
positive,"Went to see 'The Mystery of Charles Dickens' at the Playhouse Theatre, West End last Thursday starring Simon Callow.  It's a must see!"
negative,Should'nt have watched The Grey last night because walking down a dark driveway when the  sun decides to play hookie is not a good time.
neutral,Today is Day 1 of the Festival of India to Bali (from 1- 4 November)! Get your tickets from ARMA... http://t.co/84gZgHKW
positive,Let us hope I am okay and it is just stress .
negative,Ya\u002c i can understand... Most of my tutors r frm china too\u002c really cant catch wat r they tryin to say. Thk beta depend on myself...Din c u during lect...
neutral,Obama spends hour on phone with Netanyahu during Benghazi assault  http://t.co/PBOUtNQr  PRIORITIES
neutral,"Polish see Dyngus Day as their answer to St. Patrick's Day Parade: D'Ella Heschmeyer, center, dances with the Kr... http://t.co/RpEpNJ0W"
positive,Sixteen Candles Down the Drain: Sunday Inspiration Post! http://t.co/xsDDIylg
positive,"Two good ABs by Hosmer against Verlander tonight, even if he has just a walk and flyout to show for it"
positive,Like if you're proactive about your health!   Don't miss THIS SUNDAY'S live Google+ Hangout about genetic... http://t.co/EVhaTA6d
positive,Tennessee Tech's Steve Payne says Murray State does things the right way - Oct 24 @ 6:47 PM ET http://t.co/RjYCaSmv
neutral,"My 3rd autograph!My lil sis was the one who came up to Toni Gonzaga! Left photo,credits to: allenvalladares http://t.co/ISm2wHzk"
neutral,How To Dress Well plays Santos Party House on October 8th with o f f Love and Warm Ghost! http://t.co/WidZmWJ4
positive,SHATING   RT @LeighFrancis Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special
positive,Tremendous rally by Miesha Tate to win by armbar in the 3rd. Julie Kedzie is a great ambassador for MMA + fought her a** off. Respect.
neutral,#justsayin #music Jason Vernau Live @ SET Nightclub Miami February 25th 2012: Jason Vernau is back with some swe... http://t.co/9FQ3Y9rj
positive,"Tomorrow, tempe! Catching up with an old friend &lt;3"
positive,"@OurLadyPeace Will be at Irving Plaza NYC, no doubt! will be the 4th show ive seen so far. the band that saved, inspired and showed me life."
neutral,"@kbolton83 Goon is on tomorrow at 9, just sayin."
neutral,Hey u still dyin hair ah... I\u2019m goin to orchard now...
positive,Redlicki/Tahir are set to play Wichita State duo of Gregurovic/Nicol at 5 pm ET in the 1st round of doubles. #TulsaITA #goduke
positive,Soccer Saturday with our son. They're playing the hardest team in the league. Then the All-star game. #proudparents
neutral,"Exhausted but buzzing after day 1 of #yalta2012. Need sleep, vitali klitschko speaks tomorrow, might challenge him to an arm wrestle..."
neutral,"If I'm a CiCi's buffet, these mosquitoes are going in on me like obese Catholics on the last Friday of Lent."
neutral,"Iditarod Check-In:  It's 8:45AM AK Time, where are you @?  DeeDee Jonrowe mushes on a swamp as the sun sets... http://t.co/hEhspzBx"
negative,when Trayvon touched my shoulder in 7th period and tried to hide like it wasn't him &gt;&gt; lmfao you can see his tall ass anywhere!
neutral,Just watched the 1st ever Elimination Chamber match I had no idea it was an hour long till it ended.
positive,@teen_top Chunji ahhh~ May you take more adorable selca please?? :&lt;
positive,"It's so early here in Germany, my American friends are just now getting drunk. Off to Prague, knuckleheads! Talk to you on Sunday! #CzechRep"
neutral,"Robert Turbin impresses at NFL Combine: But on Sunday in Indianapolis, he became just another name, trying to pr... http://t.co/OzkhJthK"
negative,@Hopesolofans1 @hopesolo I hope my iPhone gets service tonite to find out about DWTS cause I have no power from the storm. No tv no nuttin
neutral,Hey everyone! If you are competing in districts at Lake Braddock on Monday you need to make sure to do the DECA test by 5pm tomorrow!!
positive,@AbbiePincott there was no handshake abigayle? Also when I come in tomorrow I expect my new schuh tee you ordered to be there... Good girl
negative,@kingkc1 What's annoying is that the one I pre-ordered just came today...Steve Jobs just looted my card.
neutral,You may want to plant Bachelor's Buttons.  http://t.co/40IvkjmX
neutral,"From our matrimony and vacations department - the ""Wed 'em 'n' Spread 'em"" marriage and honeymoon combo. With daily party rafts to Somalia!"
positive,"@Jangleton Come to Book Swap on Thursday. All of Twitter will be there. All the best ones, anyway."
neutral,Good morning Bel Ami fans! Thought we'd start your Sunday off with more gorgeous Bel Ami Fan art! This one... http://t.co/vFfGu9UW
neutral,@kstewshair lol last I heard the 21st of december but who the hell knows. For Bel Ami they were going to show it but they didn't and
positive,Must give the boys there spot back for most viewed video in 24hrs! Directioners tomorrow is the boys night!  #LittleThingsVideoCountdown
negative,@desboobs Breakout Kings went downhill when they killed the black dude first ep of the 2nd season.
negative,"It is not a movie I would ever have picked myself to watch , but my daughter rented it , and I wound up buying it ."
neutral,Tomorrow night Roger Sanchez at Cielo get on the guest list here; http://t.co/LiLeHZZQ   VIP RSVP... http://t.co/palaUgOA
positive,"Sarah G. Day I love you!!! Stay sweet and simple, dude! Can't wait for your show on Sunday!"
neutral,when you wan me to be back?
positive,"@wilfprophecy yep, Bestival in September. You seen the line up for #brisfest looks pretty good. De La Soul for starters. :D"
positive,Happy 11th Yr Preaching Anniversary to a mighty man of VALOR @pastorshaemun!! Excited about your next dimension!!! Love you!
positive,A cheeky 61 by Nick Watney good enough to win #CIMBClassic at -22 from @robertgarrigus &amp; @bovanpelt. @TigerWoods closed with 63 to share 4th
negative,//October-ppropriate Oingo Boingo. Where Danny Elfman looks at you like a serial kill the whole video http://t.co/BSFl20fl So 80s
positive,"@MarlitaH Pretty cool names. I have one cat, a black cat named Merlin, who leaps on my chest in the middle of the night. A heart attack soon"
neutral,"@Kaiology: Have u gotten ur tickets to see @MsTerryMcMillan at the MGM Grand on Thur, 11/1? If not, go here to get... http://t.co/UjTytXF0"
positive,Having to read Charles Dickens for homework may be the greatest thing ever
neutral,"So , we are spending a couple of months in Wales , with Mr. Mochi working at Cardiff Uni ."
positive,Wow. Just read a transcript of Shannon Sharpe's NFL hall of fame induction speech. I hope espn replays it again tonight.
positive,My Yahoo Scoreboard is already showing the Lions game vs Cincinnati on Friday. #areyoufreakingkiddingme
neutral,Re doing a bio and watching the Republicans debate while smashing some Pineapple sherbet. Not sure what to make of this evening lol
neutral,@PhuckMeROBYN you know Rih is having a Halloween party tomorrow in LA?
neutral,Just woke up lor.
neutral,"DIOP Sisters Project Reach Out in the SUB on Thursday, November 1st at 7:00 p.m. Come volunteer to be a MENTOR and help the Girl Scouts."
neutral,"RT @quizderek: Elvis Presley's 34th death anniversary is on Aug 16. Shammi Kapoor, the man they often called India's Elvis Presley"
neutral,it's November 1st ... so that means Candy Cane icecream HAS to be in the stores now right?????
neutral,We get to dress up in Halloween costumes on Wednesday. Sophia Grace and Rosie in the building ladies and gentleman.
neutral,"May be not Sachin, but Virat Kohli definitely reminds one of Ricky Ponting. The authority with which he makes his strokes quite similar..."
positive,Cliff Avril says he's feeling fine following the bye. Said he thought he would have played had the Lions had a game Sun.
negative,"I swear if tomorrow any Niner fans start tweeting about Kyle Williams tomorrow, best believe I'm gonna put you on check."
neutral,RT @GuelphFab5: #Guelph Nuit Blanche tonight: 1:30am. Bookshelf Cinema parking lot - CFRU's Silent Dance Party. http://t.co/cCeEDpy
positive,@iLoveErika_x3 &lt;3....But you really shiuld go to bed since you got HSPA tomorrow k babe:) I LOVE YOU!!! Mwaxhhhh:* Night&lt;3^.^
neutral,"RT @bteacher99: QFE: And we must do it again tomorrow. By @TonyKatz: Gandhi, The Tea Party and the Future of America http://t.co/RhRzV5d"
negative,I just saw the 1st Swansea goal against Arsenal. Vermalen didn't even try and get back. Strip him of the armband. Disgrace.
positive,It is not too late to sign your K-5th grade child up for the Little Tornadoes Reading Club at the Dover Public... http://t.co/KEkpaNZB
positive,Yup... From what i remb... I think should be can book...
positive,@Sn00ki it would make me and @Miss_Wowah 's night if you replied or retweeted us! ireland loves jersey shore!!!
neutral,Nothing\u002c smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
neutral,Me n ron meeting 2 go buy something. U wan join us?
positive,quite enjoying @GNev2 on MNF - he looks more at home sat down tho - I don't think he knows what to do with his hands when he's stood up
neutral,DTN Bangladesh: Khaleda flies to Delhi Sunday: BNP considers the visit 'very significant' as it is taking place ... http://t.co/draPmRm4
neutral,"Perfect Little Planet, the Challenger Learning Center of Tallahassee's new planetarium show premieres tomorrow!... http://t.co/OSgAicW3"
positive,Dear us and Australian Directioners just knw tht cuz I live in Ireland doesn't mean I knw Niall r country may see small but it's not :) x
positive,"I'm excited for Riri's 7th studio album ""Unapologetic"" See the album cover: http://t.co/75sWc2pd"
positive,I'm worried I may sing out loud on the train!! Beyonce's album just gets me in the singing mood everytime!
neutral,#.:Aubig Black Leather Camera Case Bag Pouch Case with Strap for Olympus OM-D OMD EM5 E-M5 Cyber Monday Deals http://t.co/1UmT7aPM
neutral,"@Rusher_4ever_12 @Beach_Rusher thing is that if we do separate time on Sat, it can make Rushers get on dif times so its not all together"
neutral,Postage for O. Henry stamp unveiled: The U.S. Postal Service on Monday unveiled the stamp commemorating the life of... http://t.co/lqvQNACh
neutral,"Me: ma? Ma: yes, love bug. Me: wyd? Ma: grilling with shanney and april. Me: at 10:30? -___- AT night. In Memphis.While I'm in Knoxville.."
negative,"heeeey , i didnt get your message in time !"
positive,It is nothing. I also very happy. see your face so sweet.
